stage_name	observed_idx	hidden_id	lane_id	frame_idx	subheader_idx	hit_idx	debug_ts_8ns	normalized_hit_word	raw_hit_word	ingress_sort_key
lane2_ingress	588	0	2	0	1	0	2	0000880000000002	0000880000000002	0000000002_2_     0_     1_     0
lane3_ingress	1196	1	3	0	1	0	3	0000cc0000000003	0000cc0000000003	0000000003_3_     0_     1_     0
lane2_ingress	589	2	2	0	1	1	6	0004a42000000006	0004a42000000006	0000000006_2_     0_     1_     1
lane3_ingress	1197	3	3	0	1	1	7	0004e82000000007	0004e82000000007	0000000007_3_     0_     1_     1
lane2_ingress	590	4	2	0	1	2	10	0008c0400000000a	0008c0400000000a	000000000a_2_     0_     1_     2
lane3_ingress	1198	5	3	0	1	2	11	000904400000000b	000904400000000b	000000000b_3_     0_     1_     2
lane3_ingress	1199	6	3	0	1	3	15	000d20600000000f	000d20600000000f	000000000f_3_     0_     1_     3
lane0_ingress	0	7	0	0	2	0	16	000c040000000010	000c040000000010	0000000010_0_     0_     2_     0
lane2_ingress	591	8	2	0	2	0	18	000c8c0000000012	000c8c0000000012	0000000012_2_     0_     2_     0
lane3_ingress	1200	9	3	0	2	0	19	000cd00000000013	000cd00000000013	0000000013_3_     0_     2_     0
lane0_ingress	1	10	0	0	2	1	20	0010202000000014	0010202000000014	0000000014_0_     0_     2_     1
lane3_ingress	1201	11	3	0	2	1	23	0010ec2000000017	0010ec2000000017	0000000017_3_     0_     2_     1
lane0_ingress	2	12	0	0	3	0	32	0018080000000020	0018080000000020	0000000020_0_     0_     3_     0
lane1_ingress	198	13	1	0	3	0	33	00184c0000000021	00184c0000000021	0000000021_1_     0_     3_     0
lane2_ingress	592	14	2	0	3	0	34	0018900000000022	0018900000000022	0000000022_2_     0_     3_     0
lane3_ingress	1202	15	3	0	3	0	35	0018d40000000023	0018d40000000023	0000000023_3_     0_     3_     0
lane1_ingress	199	16	1	0	3	1	37	001c682000000025	001c682000000025	0000000025_1_     0_     3_     1
lane2_ingress	593	17	2	0	3	1	38	001cac2000000026	001cac2000000026	0000000026_2_     0_     3_     1
lane3_ingress	1203	18	3	0	3	1	39	001cf02000000027	001cf02000000027	0000000027_3_     0_     3_     1
lane1_ingress	200	19	1	0	3	2	41	0020844000000029	0020844000000029	0000000029_1_     0_     3_     2
lane2_ingress	594	20	2	0	3	2	42	0020c8400000002a	0020c8400000002a	000000002a_2_     0_     3_     2
lane2_ingress	595	21	2	0	3	3	46	0024e4600000002e	0024e4600000002e	000000002e_2_     0_     3_     3
lane0_ingress	3	22	0	0	4	0	48	00240c0000000030	00240c0000000030	0000000030_0_     0_     4_     0
lane1_ingress	201	23	1	0	4	0	49	0024500000000031	0024500000000031	0000000031_1_     0_     4_     0
lane2_ingress	596	24	2	0	4	0	50	0024940000000032	0024940000000032	0000000032_2_     0_     4_     0
lane3_ingress	1204	25	3	0	4	0	51	0024d80000000033	0024d80000000033	0000000033_3_     0_     4_     0
lane0_ingress	4	26	0	0	4	1	52	0028282000000034	0028282000000034	0000000034_0_     0_     4_     1
lane1_ingress	202	27	1	0	4	1	53	00286c2000000035	00286c2000000035	0000000035_1_     0_     4_     1
lane2_ingress	597	28	2	0	4	1	54	0028b02000000036	0028b02000000036	0000000036_2_     0_     4_     1
lane3_ingress	1205	29	3	0	4	1	55	0028f42000000037	0028f42000000037	0000000037_3_     0_     4_     1
lane3_ingress	1206	30	3	0	4	2	59	002d10400000003b	002d10400000003b	000000003b_3_     0_     4_     2
lane1_ingress	203	31	1	0	5	0	65	0030540000000041	0030540000000041	0000000041_1_     0_     5_     0
lane2_ingress	598	32	2	0	5	0	66	0030980000000042	0030980000000042	0000000042_2_     0_     5_     0
lane3_ingress	1207	33	3	0	5	0	67	0030dc0000000043	0030dc0000000043	0000000043_3_     0_     5_     0
lane2_ingress	599	34	2	0	5	1	70	0034b42000000046	0034b42000000046	0000000046_2_     0_     5_     1
lane3_ingress	1208	35	3	0	5	1	71	0034f82000000047	0034f82000000047	0000000047_3_     0_     5_     1
lane3_ingress	1209	36	3	0	5	2	75	003914400000004b	003914400000004b	000000004b_3_     0_     5_     2
lane3_ingress	1210	37	3	0	5	3	79	003d30600000004f	003d30600000004f	000000004f_3_     0_     5_     3
lane0_ingress	5	38	0	0	6	0	80	003c140000000050	003c140000000050	0000000050_0_     0_     6_     0
lane2_ingress	600	39	2	0	6	0	82	003c9c0000000052	003c9c0000000052	0000000052_2_     0_     6_     0
lane3_ingress	1211	40	3	0	6	0	83	003ce00000000053	003ce00000000053	0000000053_3_     0_     6_     0
lane2_ingress	601	41	2	0	6	1	86	0040b82000000056	0040b82000000056	0000000056_2_     0_     6_     1
lane3_ingress	1212	42	3	0	6	1	87	0040fc2000000057	0040fc2000000057	0000000057_3_     0_     6_     1
lane2_ingress	602	43	2	0	6	2	90	0044d4400000005a	0044d4400000005a	000000005a_2_     0_     6_     2
lane3_ingress	1213	44	3	0	6	2	91	004518400000005b	004518400000005b	000000005b_3_     0_     6_     2
lane3_ingress	1214	45	3	0	6	3	95	004934600000005f	004934600000005f	000000005f_3_     0_     6_     3
lane0_ingress	6	46	0	0	7	0	96	0048180000000060	0048180000000060	0000000060_0_     0_     7_     0
lane1_ingress	204	47	1	0	7	0	97	00485c0000000061	00485c0000000061	0000000061_1_     0_     7_     0
lane2_ingress	603	48	2	0	7	0	98	0048a00000000062	0048a00000000062	0000000062_2_     0_     7_     0
lane3_ingress	1215	49	3	0	7	0	99	0048e40000000063	0048e40000000063	0000000063_3_     0_     7_     0
lane1_ingress	205	50	1	0	7	1	101	004c782000000065	004c782000000065	0000000065_1_     0_     7_     1
lane2_ingress	604	51	2	0	7	1	102	004cbc2000000066	004cbc2000000066	0000000066_2_     0_     7_     1
lane3_ingress	1216	52	3	0	7	1	103	004d002000000067	004d002000000067	0000000067_3_     0_     7_     1
lane3_ingress	1217	53	3	0	7	2	107	00511c400000006b	00511c400000006b	000000006b_3_     0_     7_     2
lane1_ingress	206	54	1	0	8	0	113	0054600000000071	0054600000000071	0000000071_1_     0_     8_     0
lane2_ingress	605	55	2	0	8	0	114	0054a40000000072	0054a40000000072	0000000072_2_     0_     8_     0
lane3_ingress	1218	56	3	0	8	0	115	0054e80000000073	0054e80000000073	0000000073_3_     0_     8_     0
lane1_ingress	207	57	1	0	8	1	117	00587c2000000075	00587c2000000075	0000000075_1_     0_     8_     1
lane2_ingress	606	58	2	0	8	1	118	0058c02000000076	0058c02000000076	0000000076_2_     0_     8_     1
lane2_ingress	607	59	2	0	8	2	122	005cdc400000007a	005cdc400000007a	000000007a_2_     0_     8_     2
lane2_ingress	608	60	2	0	8	3	126	0060f8600000007e	0060f8600000007e	000000007e_2_     0_     8_     3
lane0_ingress	7	61	0	0	9	0	128	0060200000000080	0060200000000080	0000000080_0_     0_     9_     0
lane1_ingress	208	62	1	0	9	0	129	0060640000000081	0060640000000081	0000000081_1_     0_     9_     0
lane2_ingress	609	63	2	0	9	0	130	0060a80000000082	0060a80000000082	0000000082_2_     0_     9_     0
lane3_ingress	1219	64	3	0	9	0	131	0060ec0000000083	0060ec0000000083	0000000083_3_     0_     9_     0
lane1_ingress	209	65	1	0	9	1	133	0064802000000085	0064802000000085	0000000085_1_     0_     9_     1
lane2_ingress	610	66	2	0	9	1	134	0064c42000000086	0064c42000000086	0000000086_2_     0_     9_     1
lane3_ingress	1220	67	3	0	9	1	135	0065082000000087	0065082000000087	0000000087_3_     0_     9_     1
lane0_ingress	8	68	0	0	10	0	144	006c240000000090	006c240000000090	0000000090_0_     0_    10_     0
lane1_ingress	210	69	1	0	10	0	145	006c680000000091	006c680000000091	0000000091_1_     0_    10_     0
lane2_ingress	611	70	2	0	10	0	146	006cac0000000092	006cac0000000092	0000000092_2_     0_    10_     0
lane3_ingress	1221	71	3	0	10	0	147	006cf00000000093	006cf00000000093	0000000093_3_     0_    10_     0
lane0_ingress	9	72	0	0	10	1	148	0070402000000094	0070402000000094	0000000094_0_     0_    10_     1
lane2_ingress	612	73	2	0	10	1	150	0070c82000000096	0070c82000000096	0000000096_2_     0_    10_     1
lane3_ingress	1222	74	3	0	10	1	151	00710c2000000097	00710c2000000097	0000000097_3_     0_    10_     1
lane3_ingress	1223	75	3	0	10	2	155	007528400000009b	007528400000009b	000000009b_3_     0_    10_     2
lane2_ingress	613	76	2	0	11	0	162	0078b000000000a2	0078b000000000a2	00000000a2_2_     0_    11_     0
lane3_ingress	1224	77	3	0	11	0	163	0078f400000000a3	0078f400000000a3	00000000a3_3_     0_    11_     0
lane2_ingress	614	78	2	0	11	1	166	007ccc20000000a6	007ccc20000000a6	00000000a6_2_     0_    11_     1
lane3_ingress	1225	79	3	0	11	1	167	007d1020000000a7	007d1020000000a7	00000000a7_3_     0_    11_     1
lane2_ingress	615	80	2	0	11	2	170	0080e840000000aa	0080e840000000aa	00000000aa_2_     0_    11_     2
lane3_ingress	1226	81	3	0	11	2	171	00812c40000000ab	00812c40000000ab	00000000ab_3_     0_    11_     2
lane0_ingress	10	82	0	0	12	0	176	00842c00000000b0	00842c00000000b0	00000000b0_0_     0_    12_     0
lane1_ingress	211	83	1	0	12	0	177	00847000000000b1	00847000000000b1	00000000b1_1_     0_    12_     0
lane2_ingress	616	84	2	0	12	0	178	0084b400000000b2	0084b400000000b2	00000000b2_2_     0_    12_     0
lane0_ingress	11	85	0	0	12	1	180	00884820000000b4	00884820000000b4	00000000b4_0_     0_    12_     1
lane2_ingress	617	86	2	0	12	1	182	0088d020000000b6	0088d020000000b6	00000000b6_2_     0_    12_     1
lane2_ingress	618	87	2	0	12	2	186	008cec40000000ba	008cec40000000ba	00000000ba_2_     0_    12_     2
lane1_ingress	212	88	1	0	13	0	193	00907400000000c1	00907400000000c1	00000000c1_1_     0_    13_     0
lane2_ingress	619	89	2	0	13	0	194	0090b800000000c2	0090b800000000c2	00000000c2_2_     0_    13_     0
lane3_ingress	1227	90	3	0	13	0	195	0090fc00000000c3	0090fc00000000c3	00000000c3_3_     0_    13_     0
lane1_ingress	213	91	1	0	13	1	197	00949020000000c5	00949020000000c5	00000000c5_1_     0_    13_     1
lane2_ingress	620	92	2	0	13	1	198	0094d420000000c6	0094d420000000c6	00000000c6_2_     0_    13_     1
lane3_ingress	1228	93	3	0	13	1	199	00951820000000c7	00951820000000c7	00000000c7_3_     0_    13_     1
lane2_ingress	621	94	2	0	13	2	202	0098f040000000ca	0098f040000000ca	00000000ca_2_     0_    13_     2
lane2_ingress	622	95	2	0	14	0	210	009cbc00000000d2	009cbc00000000d2	00000000d2_2_     0_    14_     0
lane3_ingress	1229	96	3	0	14	0	211	009d0000000000d3	009d0000000000d3	00000000d3_3_     0_    14_     0
lane2_ingress	623	97	2	0	14	1	214	00a0d820000000d6	00a0d820000000d6	00000000d6_2_     0_    14_     1
lane3_ingress	1230	98	3	0	14	1	215	00a11c20000000d7	00a11c20000000d7	00000000d7_3_     0_    14_     1
lane3_ingress	1231	99	3	0	14	2	219	00a53840000000db	00a53840000000db	00000000db_3_     0_    14_     2
lane3_ingress	1232	100	3	0	14	3	223	00a95460000000df	00a95460000000df	00000000df_3_     0_    14_     3
lane2_ingress	624	101	2	0	15	0	226	00a8c000000000e2	00a8c000000000e2	00000000e2_2_     0_    15_     0
lane3_ingress	1233	102	3	0	15	0	227	00a90400000000e3	00a90400000000e3	00000000e3_3_     0_    15_     0
lane2_ingress	625	103	2	0	15	1	230	00acdc20000000e6	00acdc20000000e6	00000000e6_2_     0_    15_     1
lane2_ingress	626	104	2	0	15	2	234	00b0f840000000ea	00b0f840000000ea	00000000ea_2_     0_    15_     2
lane2_ingress	627	105	2	0	15	3	238	00b51460000000ee	00b51460000000ee	00000000ee_2_     0_    15_     3
lane1_ingress	214	106	1	0	16	0	241	00b48000000000f1	00b48000000000f1	00000000f1_1_     0_    16_     0
