stage_name	observed_idx	hidden_id	lane_id	frame_idx	subheader_idx	hit_idx	debug_ts_8ns	normalized_hit_word	raw_hit_word	ingress_sort_key
dma	0	0	0	0	0	0	40960	000000000000a000	000000000000a000	000000a000_0_     0_     0_     0
dma	1	8	1	0	0	1	40964	00041c200000a004	00041c200000a004	000000a004_1_     0_     0_     1
dma	2	2	2	0	0	2	40961	000044000000a001	000044000000a001	000000a001_2_     0_     0_     2
dma	3	9	3	0	0	3	40965	000460200000a005	000460200000a005	000000a005_3_     0_     0_     3
dma	4	4	0	1	0	0	40962	000088000000a002	000088000000a002	000000a002_0_     1_     0_     0
dma	5	6	1	1	0	1	40963	0000cc000000a003	0000cc000000a003	000000a003_1_     1_     0_     1
dma	6	11	2	1	0	2	40967	0004e8200000a007	0004e8200000a007	000000a007_2_     1_     0_     2
dma	7	14	3	1	0	3	40971	000904400000a00b	000904400000a00b	000000a00b_3_     1_     0_     3
dma	8	16	0	2	0	0	40975	000d20600000a00f	000d20600000a00f	000000a00f_0_     2_     0_     0
dma	9	18	1	2	0	1	40976	000c04000000a010	000c04000000a010	000000a010_1_     2_     0_     1
dma	10	24	2	2	0	2	40980	001020200000a014	001020200000a014	000000a014_2_     2_     0_     2
dma	11	19	3	2	0	3	40977	000c48000000a011	000c48000000a011	000000a011_3_     2_     0_     3
dma	12	22	0	3	0	0	40979	000cd0000000a013	000cd0000000a013	000000a013_0_     3_     0_     0
dma	13	27	1	3	0	1	40983	0010ec200000a017	0010ec200000a017	000000a017_1_     3_     0_     1
dma	14	30	2	3	0	2	40987	001508400000a01b	001508400000a01b	000000a01b_2_     3_     0_     2
dma	15	33	3	3	0	3	40992	001808000000a020	001808000000a020	000000a020_3_     3_     0_     3
dma	16	40	0	4	0	0	40996	001c24200000a024	001c24200000a024	000000a024_0_     4_     0_     0
dma	17	46	1	4	0	1	41000	002040400000a028	002040400000a028	000000a028_1_     4_     0_     1
dma	18	36	2	4	0	2	40994	001890000000a022	001890000000a022	000000a022_2_     4_     0_     2
dma	19	42	3	4	0	3	40998	001cac200000a026	001cac200000a026	000000a026_3_     4_     0_     3
dma	20	48	0	5	0	0	41002	0020c8400000a02a	0020c8400000a02a	000000a02a_0_     5_     0_     0
dma	21	38	1	5	0	1	40995	0018d4000000a023	0018d4000000a023	000000a023_1_     5_     0_     1
dma	22	44	2	5	0	2	40999	001cf0200000a027	001cf0200000a027	000000a027_2_     5_     0_     2
dma	23	53	3	5	0	3	41008	00240c000000a030	00240c000000a030	000000a030_3_     5_     0_     3
dma	24	59	0	6	0	0	41012	002828200000a034	002828200000a034	000000a034_0_     6_     0_     0
dma	25	54	1	6	0	1	41009	002450000000a031	002450000000a031	000000a031_1_     6_     0_     1
dma	26	55	2	6	0	2	41010	002494000000a032	002494000000a032	000000a032_2_     6_     0_     2
dma	27	60	3	6	0	3	41014	0028b0200000a036	0028b0200000a036	000000a036_3_     6_     0_     3
dma	28	63	0	7	0	0	41018	002ccc400000a03a	002ccc400000a03a	000000a03a_0_     7_     0_     0
dma	29	66	1	7	0	1	41022	0030e8600000a03e	0030e8600000a03e	000000a03e_1_     7_     0_     1
dma	30	57	2	7	0	2	41011	0024d8000000a033	0024d8000000a033	000000a033_2_     7_     0_     2
dma	31	61	3	7	0	3	41015	0028f4200000a037	0028f4200000a037	000000a037_3_     7_     0_     3
dma	32	64	0	8	0	0	41019	002d10400000a03b	002d10400000a03b	000000a03b_0_     8_     0_     0
dma	33	67	1	8	0	1	41023	00312c600000a03f	00312c600000a03f	000000a03f_1_     8_     0_     1
dma	34	69	2	8	0	2	41024	003010000000a040	003010000000a040	000000a040_2_     8_     0_     2
dma	35	71	3	8	0	3	41026	003098000000a042	003098000000a042	000000a042_3_     8_     0_     3
dma	36	73	0	9	0	0	41027	0030dc000000a043	0030dc000000a043	000000a043_0_     9_     0_     0
dma	37	76	1	9	0	1	41031	0034f8200000a047	0034f8200000a047	000000a047_1_     9_     0_     1
dma	38	78	2	9	0	2	41035	003914400000a04b	003914400000a04b	000000a04b_2_     9_     0_     2
dma	39	80	3	9	0	3	41039	003d30600000a04f	003d30600000a04f	000000a04f_3_     9_     0_     3
dma	40	81	0	10	0	0	41041	003c58000000a051	003c58000000a051	000000a051_0_    10_     0_     0
dma	41	83	1	10	0	1	41042	003c9c000000a052	003c9c000000a052	000000a052_1_    10_     0_     1
dma	42	87	2	10	0	2	41046	0040b8200000a056	0040b8200000a056	000000a056_2_    10_     0_     2
dma	43	85	3	10	0	3	41043	003ce0000000a053	003ce0000000a053	000000a053_3_    10_     0_     3
dma	44	89	0	11	0	0	41047	0040fc200000a057	0040fc200000a057	000000a057_0_    11_     0_     0
dma	45	91	1	11	0	1	41051	004518400000a05b	004518400000a05b	000000a05b_1_    11_     0_     1
dma	46	93	2	11	0	2	41055	004934600000a05f	004934600000a05f	000000a05f_2_    11_     0_     2
dma	47	95	3	11	0	3	41056	004818000000a060	004818000000a060	000000a060_3_    11_     0_     3
dma	48	97	0	12	0	0	41058	0048a0000000a062	0048a0000000a062	000000a062_0_    12_     0_     0
dma	49	101	1	12	0	1	41062	004cbc200000a066	004cbc200000a066	000000a066_1_    12_     0_     1
dma	50	98	2	12	0	2	41059	0048e4000000a063	0048e4000000a063	000000a063_2_    12_     0_     2
dma	51	102	3	12	0	3	41063	004d00200000a067	004d00200000a067	000000a067_3_    12_     0_     3
dma	52	106	0	13	0	0	41073	005460000000a071	005460000000a071	000000a071_0_    13_     0_     0
dma	53	108	1	13	0	1	41074	0054a4000000a072	0054a4000000a072	000000a072_1_    13_     0_     1
dma	54	112	2	13	0	2	41078	0058c0200000a076	0058c0200000a076	000000a076_2_    13_     0_     2
