stage_name	observed_idx	hidden_id	lane_id	frame_idx	subheader_idx	hit_idx	debug_ts_8ns	normalized_hit_word	raw_hit_word	ingress_sort_key
lane0_ingress	0	0	0	0	1	0	40960	000000000000a000	000000000000a000	000000a000_0_     0_     1_     0
lane0_ingress	600	1	0	0	129	0	40960	020200000000a000	020200000000a000	000000a000_0_     0_   129_     0
lane1_ingress	1	2	1	0	1	0	40961	000044000000a001	000044000000a001	000000a001_1_     0_     1_     0
lane1_ingress	864	3	1	0	129	0	40961	020244000000a001	020244000000a001	000000a001_1_     0_   129_     0
lane2_ingress	2	4	2	0	1	0	40962	000088000000a002	000088000000a002	000000a002_2_     0_     1_     0
lane2_ingress	1029	5	2	0	129	0	40962	020288000000a002	020288000000a002	000000a002_2_     0_   129_     0
lane3_ingress	3	6	3	0	1	0	40963	0000cc000000a003	0000cc000000a003	000000a003_3_     0_     1_     0
lane3_ingress	1212	7	3	0	129	0	40963	0202cc000000a003	0202cc000000a003	000000a003_3_     0_   129_     0
lane0_ingress	4	8	0	0	1	1	40964	00041c200000a004	00041c200000a004	000000a004_0_     0_     1_     1
lane1_ingress	5	9	1	0	1	1	40965	000460200000a005	000460200000a005	000000a005_1_     0_     1_     1
lane2_ingress	1032	10	2	0	129	1	40966	0206a4200000a006	0206a4200000a006	000000a006_2_     0_   129_     1
lane3_ingress	6	11	3	0	1	1	40967	0004e8200000a007	0004e8200000a007	000000a007_3_     0_     1_     1
lane3_ingress	1214	12	3	0	129	1	40967	0206e8200000a007	0206e8200000a007	000000a007_3_     0_   129_     1
lane2_ingress	1034	13	2	0	129	2	40970	020ac0400000a00a	020ac0400000a00a	000000a00a_2_     0_   129_     2
lane3_ingress	7	14	3	0	1	2	40971	000904400000a00b	000904400000a00b	000000a00b_3_     0_     1_     2
lane3_ingress	1217	15	3	0	129	2	40971	020b04400000a00b	020b04400000a00b	000000a00b_3_     0_   129_     2
lane3_ingress	11	16	3	0	1	3	40975	000d20600000a00f	000d20600000a00f	000000a00f_3_     0_     1_     3
lane3_ingress	1221	17	3	0	129	3	40975	020f20600000a00f	020f20600000a00f	000000a00f_3_     0_   129_     3
lane0_ingress	8	18	0	0	2	0	40976	000c04000000a010	000c04000000a010	000000a010_0_     0_     2_     0
lane1_ingress	9	19	1	0	2	0	40977	000c48000000a011	000c48000000a011	000000a011_1_     0_     2_     0
lane1_ingress	869	20	1	0	130	0	40977	020e48000000a011	020e48000000a011	000000a011_1_     0_   130_     0
lane2_ingress	1037	21	2	0	130	0	40978	020e8c000000a012	020e8c000000a012	000000a012_2_     0_   130_     0
lane3_ingress	15	22	3	0	2	0	40979	000cd0000000a013	000cd0000000a013	000000a013_3_     0_     2_     0
lane3_ingress	1225	23	3	0	130	0	40979	020ed0000000a013	020ed0000000a013	000000a013_3_     0_   130_     0
lane0_ingress	12	24	0	0	2	1	40980	001020200000a014	001020200000a014	000000a014_0_     0_     2_     1
lane1_ingress	872	25	1	0	130	1	40981	021264200000a015	021264200000a015	000000a015_1_     0_   130_     1
lane2_ingress	1040	26	2	0	130	1	40982	0212a8200000a016	0212a8200000a016	000000a016_2_     0_   130_     1
lane3_ingress	18	27	3	0	2	1	40983	0010ec200000a017	0010ec200000a017	000000a017_3_     0_     2_     1
lane3_ingress	1227	28	3	0	130	1	40983	0212ec200000a017	0212ec200000a017	000000a017_3_     0_   130_     1
lane2_ingress	1043	29	2	0	130	2	40986	0216c4400000a01a	0216c4400000a01a	000000a01a_2_     0_   130_     2
lane3_ingress	21	30	3	0	2	2	40987	001508400000a01b	001508400000a01b	000000a01b_3_     0_     2_     2
lane3_ingress	1231	31	3	0	130	2	40987	021708400000a01b	021708400000a01b	000000a01b_3_     0_   130_     2
lane3_ingress	1235	32	3	0	130	3	40991	021b24600000a01f	021b24600000a01f	000000a01f_3_     0_   130_     3
lane0_ingress	16	33	0	0	3	0	40992	001808000000a020	001808000000a020	000000a020_0_     0_     3_     0
lane0_ingress	607	34	0	0	131	0	40992	021a08000000a020	021a08000000a020	000000a020_0_     0_   131_     0
lane1_ingress	877	35	1	0	131	0	40993	021a4c000000a021	021a4c000000a021	000000a021_1_     0_   131_     0
