stage_name	observed_idx	hidden_id	lane_id	frame_idx	subheader_idx	hit_idx	debug_ts_8ns	normalized_hit_word	raw_hit_word	ingress_sort_key
dma	0	1	0	0	0	0	40962	000088000000a002	000088000000a002	000000a002_0_     0_     0_     0
dma	1	3	1	0	0	1	40963	0000cc000000a003	0000cc000000a003	000000a003_1_     0_     0_     1
dma	2	7	2	0	0	2	40976	000c04000000a010	000c04000000a010	000000a010_2_     0_     0_     2
dma	3	10	3	0	0	3	40979	000cd0000000a013	000cd0000000a013	000000a013_3_     0_     0_     3
dma	4	16	0	1	0	0	40994	001890000000a022	001890000000a022	000000a022_0_     1_     0_     0
dma	5	20	1	1	0	1	40998	001cac200000a026	001cac200000a026	000000a026_1_     1_     0_     1
dma	6	24	2	1	0	2	41002	0020c8400000a02a	0020c8400000a02a	000000a02a_2_     1_     0_     2
dma	7	18	3	1	0	3	40995	0018d4000000a023	0018d4000000a023	000000a023_3_     1_     0_     3
dma	8	22	0	2	0	0	40999	001cf0200000a027	001cf0200000a027	000000a027_0_     2_     0_     0
dma	9	26	1	2	0	1	41003	00210c400000a02b	00210c400000a02b	000000a02b_1_     2_     0_     1
dma	10	29	2	2	0	2	41010	002494000000a032	002494000000a032	000000a032_2_     2_     0_     2
dma	11	31	3	2	0	3	41025	003054000000a041	003054000000a041	000000a041_3_     2_     0_     3
dma	12	36	0	3	0	0	41029	003470200000a045	003470200000a045	000000a045_0_     3_     0_     0
dma	13	33	1	3	0	1	41026	003098000000a042	003098000000a042	000000a042_1_     3_     0_     1
dma	14	37	2	3	0	2	41030	0034b4200000a046	0034b4200000a046	000000a046_2_     3_     0_     2
dma	15	34	3	3	0	3	41027	0030dc000000a043	0030dc000000a043	000000a043_3_     3_     0_     3
dma	16	38	0	4	0	0	41031	0034f8200000a047	0034f8200000a047	000000a047_0_     4_     0_     0
dma	17	41	1	4	0	1	41042	003c9c000000a052	003c9c000000a052	000000a052_1_     4_     0_     1
dma	18	42	2	4	0	2	41043	003ce0000000a053	003ce0000000a053	000000a053_2_     4_     0_     2
dma	19	44	3	4	0	3	41047	0040fc200000a057	0040fc200000a057	000000a057_3_     4_     0_     3
dma	20	46	0	5	0	0	41057	00485c000000a061	00485c000000a061	000000a061_0_     5_     0_     0
dma	21	51	1	5	0	1	41061	004c78200000a065	004c78200000a065	000000a065_1_     5_     0_     1
dma	22	55	2	5	0	2	41065	005094400000a069	005094400000a069	000000a069_2_     5_     0_     2
