stage_name	observed_idx	hidden_id	lane_id	frame_idx	subheader_idx	hit_idx	debug_ts_8ns	normalized_hit_word	raw_hit_word	ingress_sort_key
dma	0	0	0	0	0	0	40960	000000000000a000	000000000000a000	000000a000_0_     0_     0_     0
dma	1	2	1	0	0	1	40962	000088000000a002	000088000000a002	000000a002_1_     0_     0_     1
dma	2	4	2	0	0	2	40963	0000cc000000a003	0000cc000000a003	000000a003_2_     0_     0_     2
dma	3	8	3	0	0	3	40978	000c8c000000a012	000c8c000000a012	000000a012_3_     0_     0_     3
dma	4	9	0	1	0	0	40979	000cd0000000a013	000cd0000000a013	000000a013_0_     1_     0_     0
dma	5	11	1	1	0	1	40983	0010ec200000a017	0010ec200000a017	000000a017_1_     1_     0_     1
dma	6	13	2	1	0	2	40992	001808000000a020	001808000000a020	000000a020_2_     1_     0_     2
dma	7	14	3	1	0	3	40993	00184c000000a021	00184c000000a021	000000a021_3_     1_     0_     3
dma	8	16	0	2	0	0	40994	001890000000a022	001890000000a022	000000a022_0_     2_     0_     0
dma	9	20	1	2	0	1	40998	001cac200000a026	001cac200000a026	000000a026_1_     2_     0_     1
dma	10	18	2	2	0	2	40995	0018d4000000a023	0018d4000000a023	000000a023_2_     2_     0_     2
dma	11	21	3	2	0	3	40999	001cf0200000a027	001cf0200000a027	000000a027_3_     2_     0_     3
dma	12	24	0	3	0	0	41009	002450000000a031	002450000000a031	000000a031_0_     3_     0_     0
dma	13	25	1	3	0	1	41010	002494000000a032	002494000000a032	000000a032_1_     3_     0_     1
dma	14	28	2	3	0	2	41014	0028b0200000a036	0028b0200000a036	000000a036_2_     3_     0_     2
dma	15	30	3	3	0	3	41018	002ccc400000a03a	002ccc400000a03a	000000a03a_3_     3_     0_     3
dma	16	26	0	4	0	0	41011	0024d8000000a033	0024d8000000a033	000000a033_0_     4_     0_     0
dma	17	29	1	4	0	1	41015	0028f4200000a037	0028f4200000a037	000000a037_1_     4_     0_     1
dma	18	31	2	4	0	2	41024	003010000000a040	003010000000a040	000000a040_2_     4_     0_     2
dma	19	32	3	4	0	3	41025	003054000000a041	003054000000a041	000000a041_3_     4_     0_     3
dma	20	34	0	5	0	0	41026	003098000000a042	003098000000a042	000000a042_0_     5_     0_     0
dma	21	36	1	5	0	1	41027	0030dc000000a043	0030dc000000a043	000000a043_1_     5_     0_     1
dma	22	39	2	5	0	2	41031	0034f8200000a047	0034f8200000a047	000000a047_2_     5_     0_     2
dma	23	41	3	5	0	3	41040	003c14000000a050	003c14000000a050	000000a050_3_     5_     0_     3
dma	24	43	0	6	0	0	41042	003c9c000000a052	003c9c000000a052	000000a052_0_     6_     0_     0
dma	25	47	1	6	0	1	41046	0040b8200000a056	0040b8200000a056	000000a056_1_     6_     0_     1
dma	26	45	2	6	0	2	41043	003ce0000000a053	003ce0000000a053	000000a053_2_     6_     0_     2
dma	27	49	3	6	0	3	41047	0040fc200000a057	0040fc200000a057	000000a057_3_     6_     0_     3
dma	28	53	0	7	0	0	41056	004818000000a060	004818000000a060	000000a060_0_     7_     0_     0
dma	29	56	1	7	0	1	41058	0048a0000000a062	0048a0000000a062	000000a062_1_     7_     0_     1
dma	30	60	2	7	0	2	41062	004cbc200000a066	004cbc200000a066	000000a066_2_     7_     0_     2
dma	31	62	3	7	0	3	41066	0050d8400000a06a	0050d8400000a06a	000000a06a_3_     7_     0_     3
dma	32	63	0	8	0	0	41070	0054f4600000a06e	0054f4600000a06e	000000a06e_0_     8_     0_     0
dma	33	58	1	8	0	1	41059	0048e4000000a063	0048e4000000a063	000000a063_1_     8_     0_     1
dma	34	65	2	8	0	2	41073	005460000000a071	005460000000a071	000000a071_2_     8_     0_     2
dma	35	66	3	8	0	3	41074	0054a4000000a072	0054a4000000a072	000000a072_3_     8_     0_     3
dma	36	70	0	9	0	0	41078	0058c0200000a076	0058c0200000a076	000000a076_0_     9_     0_     0
dma	37	68	1	9	0	1	41075	0054e8000000a073	0054e8000000a073	000000a073_1_     9_     0_     1
dma	38	72	2	9	0	2	41088	006020000000a080	006020000000a080	000000a080_2_     9_     0_     2
dma	39	73	3	9	0	3	41090	0060a8000000a082	0060a8000000a082	000000a082_3_     9_     0_     3
dma	40	77	0	10	0	0	41094	0064c4200000a086	0064c4200000a086	000000a086_0_    10_     0_     0
dma	41	80	1	10	0	1	41098	0068e0400000a08a	0068e0400000a08a	000000a08a_1_    10_     0_     1
dma	42	75	2	10	0	2	41091	0060ec000000a083	0060ec000000a083	000000a083_2_    10_     0_     2
dma	43	79	3	10	0	3	41095	006508200000a087	006508200000a087	000000a087_3_    10_     0_     3
dma	44	81	0	11	0	0	41105	006c68000000a091	006c68000000a091	000000a091_0_    11_     0_     0
dma	45	85	1	11	0	1	41109	007084200000a095	007084200000a095	000000a095_1_    11_     0_     1
dma	46	87	2	11	0	2	41121	00786c000000a0a1	00786c000000a0a1	000000a0a1_2_    11_     0_     2
dma	47	89	3	11	0	3	41123	0078f4000000a0a3	0078f4000000a0a3	000000a0a3_3_    11_     0_     3
dma	48	92	0	12	0	0	41137	008470000000a0b1	008470000000a0b1	000000a0b1_0_    12_     0_     0
dma	49	97	1	12	0	1	41141	00888c200000a0b5	00888c200000a0b5	000000a0b5_1_    12_     0_     1
dma	50	93	2	12	0	2	41138	0084b4000000a0b2	0084b4000000a0b2	000000a0b2_2_    12_     0_     2
dma	51	98	3	12	0	3	41142	0088d0200000a0b6	0088d0200000a0b6	000000a0b6_3_    12_     0_     3
dma	52	100	0	13	0	0	41146	008cec400000a0ba	008cec400000a0ba	000000a0ba_0_    13_     0_     0
dma	53	102	1	13	0	1	41150	009108600000a0be	009108600000a0be	000000a0be_1_    13_     0_     1
dma	54	95	2	13	0	2	41139	0084f8000000a0b3	0084f8000000a0b3	000000a0b3_2_    13_     0_     2
dma	55	104	3	13	0	3	41153	009074000000a0c1	009074000000a0c1	000000a0c1_3_    13_     0_     3
dma	56	105	0	14	0	0	41154	0090b8000000a0c2	0090b8000000a0c2	000000a0c2_0_    14_     0_     0
dma	57	106	1	14	0	1	41155	0090fc000000a0c3	0090fc000000a0c3	000000a0c3_1_    14_     0_     1
dma	58	108	2	14	0	2	41159	009518200000a0c7	009518200000a0c7	000000a0c7_2_    14_     0_     2
dma	59	110	3	14	0	3	41163	009934400000a0cb	009934400000a0cb	000000a0cb_3_    14_     0_     3
dma	60	111	0	15	0	0	41169	009c78000000a0d1	009c78000000a0d1	000000a0d1_0_    15_     0_     0
dma	61	113	1	15	0	1	41171	009d00000000a0d3	009d00000000a0d3	000000a0d3_1_    15_     0_     1
dma	62	114	2	15	0	2	41175	00a11c200000a0d7	00a11c200000a0d7	000000a0d7_2_    15_     0_     2
dma	63	115	3	15	0	3	41179	00a538400000a0db	00a538400000a0db	000000a0db_3_    15_     0_     3
dma	64	116	0	16	0	0	41185	00a87c000000a0e1	00a87c000000a0e1	000000a0e1_0_    16_     0_     0
dma	65	119	1	16	0	1	41187	00a904000000a0e3	00a904000000a0e3	000000a0e3_1_    16_     0_     1
dma	66	123	2	16	0	2	41200	00b43c000000a0f0	00b43c000000a0f0	000000a0f0_2_    16_     0_     2
dma	67	125	3	16	0	3	41201	00b480000000a0f1	00b480000000a0f1	000000a0f1_3_    16_     0_     3
dma	68	130	0	17	0	0	41205	00b89c200000a0f5	00b89c200000a0f5	000000a0f5_0_    17_     0_     0
dma	69	133	1	17	0	1	41209	00bcb8400000a0f9	00bcb8400000a0f9	000000a0f9_1_    17_     0_     1
dma	70	128	2	17	0	2	41203	00b508000000a0f3	00b508000000a0f3	000000a0f3_2_    17_     0_     2
dma	71	135	3	17	0	3	41217	00c084000000a101	00c084000000a101	000000a101_3_    17_     0_     3
dma	72	138	0	18	0	0	41219	00c10c000000a103	00c10c000000a103	000000a103_0_    18_     0_     0
dma	73	140	1	18	0	1	41223	00c528200000a107	00c528200000a107	000000a107_1_    18_     0_     1
dma	74	142	2	18	0	2	41227	00c944400000a10b	00c944400000a10b	000000a10b_2_    18_     0_     2
dma	75	145	3	18	0	3	41235	00cd10000000a113	00cd10000000a113	000000a113_3_    18_     0_     3
dma	76	146	0	19	0	0	41239	00d12c200000a117	00d12c200000a117	000000a117_0_    19_     0_     0
dma	77	147	1	19	0	1	41248	00d848000000a120	00d848000000a120	000000a120_1_    19_     0_     1
dma	78	149	2	19	0	2	41251	00d914000000a123	00d914000000a123	000000a123_2_    19_     0_     2
dma	79	151	3	19	0	3	41255	00dd30200000a127	00dd30200000a127	000000a127_3_    19_     0_     3
dma	80	155	0	20	0	0	41264	00e44c000000a130	00e44c000000a130	000000a130_0_    20_     0_     0
dma	81	157	1	20	0	1	41265	00e490000000a131	00e490000000a131	000000a131_1_    20_     0_     1
dma	82	158	2	20	0	2	41266	00e4d4000000a132	00e4d4000000a132	000000a132_2_    20_     0_     2
dma	83	160	3	20	0	3	41270	00e8f0200000a136	00e8f0200000a136	000000a136_3_    20_     0_     3
dma	84	162	0	21	0	0	41281	00f094000000a141	00f094000000a141	000000a141_0_    21_     0_     0
dma	85	163	1	21	0	1	41282	00f0d8000000a142	00f0d8000000a142	000000a142_1_    21_     0_     1
dma	86	167	2	21	0	2	41286	00f4f4200000a146	00f4f4200000a146	000000a146_2_    21_     0_     2
dma	87	165	3	21	0	3	41283	00f11c000000a143	00f11c000000a143	000000a143_3_    21_     0_     3
dma	88	169	0	22	0	0	41287	00f538200000a147	00f538200000a147	000000a147_0_    22_     0_     0
dma	89	172	1	22	0	1	41291	00f954400000a14b	00f954400000a14b	000000a14b_1_    22_     0_     1
dma	90	173	2	22	0	2	41296	00fc54000000a150	00fc54000000a150	000000a150_2_    22_     0_     2
dma	91	178	3	22	0	3	41300	010070200000a154	010070200000a154	000000a154_3_    22_     0_     3
dma	92	175	0	23	0	0	41297	00fc98000000a151	00fc98000000a151	000000a151_0_    23_     0_     0
dma	93	179	1	23	0	1	41301	0100b4200000a155	0100b4200000a155	000000a155_1_    23_     0_     1
